year,State,Population,Violent_Crime_Total,Murder_Nonnegligent_Manslaughter,Legacy_Rape,Revised_Rape,Robbery,Aggravated_Assault,State,Population,Property_Crime_Total,Burglary,Larceny_Theft,Motor_Vehicle_Theft,State,Population,Violent_Crime_Rate,Murder_Nonnegligent_Manslaughter_Rate,Legacy_Rape_Rate,Revised_Rape_Rate,Robbery_Rate,Aggravated_Assault_Rate,State,Population,Property_Crime_Rate,Burglary_Rate,Larceny_Theft_Rate,Motor_Vehicle_Theft_Rate
2002,Alabama,"4,478,896","19,931",303,"1,664",NA,"5,962","12,002",Alabama,"4,478,896","180,400","42,578","123,932","13,890",Alabama,"4,478,896",445,6.8,37.2,NA,133.1,268,Alabama,"4,478,896","4,027.8",950.6,"2,767.0",310.1
2002,Alaska,"641,482","3,627",33,511,NA,489,"2,594",Alaska,"641,482","24,118","3,908","17,739","2,471",Alaska,"641,482",565.4,5.1,79.7,NA,76.2,404.4,Alaska,"641,482","3,759.7",609.2,"2,765.3",385.2
2002,Arizona,"5,441,125","30,171",387,"1,608",NA,"8,000","20,176",Arizona,"5,441,125","318,296","59,087","201,541","57,668",Arizona,"5,441,125",554.5,7.1,29.6,NA,147,370.8,Arizona,"5,441,125","5,849.8","1,085.9","3,704.0","1,059.9"
2002,Arkansas,"2,706,268","11,501",142,754,NA,"2,524","8,081",Arkansas,"2,706,268","101,171","23,229","71,129","6,813",Arkansas,"2,706,268",425,5.2,27.9,NA,93.3,298.6,Arkansas,"2,706,268","3,738.4",858.3,"2,628.3",251.7
2002,California,"35,001,986","208,388","2,395","10,198",NA,"64,968","130,827",California,"35,001,986","1,176,484","238,428","715,692","222,364",California,"35,001,986",595.4,6.8,29.1,NA,185.6,373.8,California,"35,001,986","3,361.2",681.2,"2,044.7",635.3
2002,Colorado,"4,501,051","15,882",179,"2,066",NA,"3,579","10,058",Colorado,"4,501,051","180,054","31,678","125,193","23,183",Colorado,"4,501,051",352.9,4,45.9,NA,79.5,223.5,Colorado,"4,501,051","4,000.3",703.8,"2,781.4",515.1
2002,Connecticut,"3,458,587","10,807",84,740,NA,"4,069","5,914",Connecticut,"3,458,587","93,426","17,111","64,735","11,580",Connecticut,"3,458,587",312.5,2.4,21.4,NA,117.6,171,Connecticut,"3,458,587","2,701.3",494.7,"1,871.7",334.8
2002,Delaware,"805,945","4,836",26,358,NA,"1,154","3,298",Delaware,"805,945","26,967","5,355","18,555","3,057",Delaware,"805,945",600,3.2,44.4,NA,143.2,409.2,Delaware,"805,945","3,346.0",664.4,"2,302.3",379.3
2002,District of Columbia,"569,157","9,322",264,262,NA,"3,834","4,962",District of Columbia,"569,157","36,477","5,170","21,708","9,599",District of Columbia,"569,157","1,637.9",46.4,46,NA,673.6,871.8,District of Columbia,"569,157","6,409.0",908.4,"3,814.1","1,686.5"
2002,Florida,"16,691,701","128,721",911,"6,753",NA,"32,581","88,476",Florida,"16,691,701","777,236","177,242","511,478","88,516",Florida,"16,691,701",771.2,5.5,40.5,NA,195.2,530.1,Florida,"16,691,701","4,656.4","1,061.9","3,064.3",530.3
