year,State,Population,Violent_Crime_Total,Murder_Nonnegligent_Manslaughter,Legacy_Rape,Revised_Rape,Robbery,Aggravated_Assault,State,Population,Property_Crime_Total,Burglary,Larceny_Theft,Motor_Vehicle_Theft,State,Population,Violent_Crime_Rate,Murder_Nonnegligent_Manslaughter_Rate,Legacy_Rape_Rate,Revised_Rape_Rate,Robbery_Rate,Aggravated_Assault_Rate,State,Population,Property_Crime_Rate,Burglary_Rate,Larceny_Theft_Rate,Motor_Vehicle_Theft_Rate
2007,Alabama,"4,627,851","20,775",412,"1,548",NA,"7,398","11,417",Alabama,"4,627,851","184,082","45,379","124,465","14,238",Alabama,"4,627,851",448.9,8.9,33.4,NA,159.9,246.7,Alabama,"4,627,851","3,977.7",980.6,"2,689.5",307.7
2007,Alaska,"683,478","4,520",43,545,NA,581,"3,351",Alaska,"683,478","23,096","3,734","16,929","2,433",Alaska,"683,478",661.3,6.3,79.7,NA,85,490.3,Alaska,"683,478","3,379.2",546.3,"2,476.9",356
2007,Arizona,"6,338,755","32,835",548,"2,353",NA,"9,764","20,170",Arizona,"6,338,755","287,308","59,988","177,076","50,244",Arizona,"6,338,755",518,8.6,37.1,NA,154,318.2,Arizona,"6,338,755","4,532.6",946.4,"2,793.5",792.6
2007,Arkansas,"2,834,797","15,226",198,"1,294",NA,"3,105","10,629",Arkansas,"2,834,797","112,130","32,035","73,096","6,999",Arkansas,"2,834,797",537.1,7,45.6,NA,109.5,374.9,Arkansas,"2,834,797","3,955.5","1,130.1","2,578.5",246.9
2007,California,"36,553,215","191,561","2,262","9,046",NA,"70,706","109,547",California,"36,553,215","1,112,510","237,850","654,526","220,134",California,"36,553,215",524.1,6.2,24.7,NA,193.4,299.7,California,"36,553,215","3,043.5",650.7,"1,790.6",602.2
2007,Colorado,"4,861,515","17,101",155,"2,075",NA,"3,461","11,410",Colorado,"4,861,515","145,808","28,633","100,519","16,656",Colorado,"4,861,515",351.8,3.2,42.7,NA,71.2,234.7,Colorado,"4,861,515","2,999.2",589,"2,067.6",342.6
2007,Connecticut,"3,502,309","10,547",113,690,NA,"4,303","5,441",Connecticut,"3,502,309","86,528","15,640","60,937","9,951",Connecticut,"3,502,309",301.1,3.2,19.7,NA,122.9,155.4,Connecticut,"3,502,309","2,470.6",446.6,"1,739.9",284.1
2007,Delaware,"864,764","6,100",39,341,NA,"1,763","3,957",Delaware,"864,764","29,216","6,420","20,454","2,342",Delaware,"864,764",705.4,4.5,39.4,NA,203.9,457.6,Delaware,"864,764","3,378.5",742.4,"2,365.3",270.8
2007,District of Columbia,"588,292","8,325",181,192,NA,"4,265","3,687",District of Columbia,"588,292","28,922","3,926","17,390","7,606",District of Columbia,"588,292","1,415.1",30.8,32.6,NA,725,626.7,District of Columbia,"588,292","4,916.3",667.4,"2,956.0","1,292.9"
2007,Florida,"18,251,243","131,878","1,202","6,149",NA,"38,155","86,372",Florida,"18,251,243","746,249","181,836","490,783","73,630",Florida,"18,251,243",722.6,6.6,33.7,NA,209.1,473.2,Florida,"18,251,243","4,088.8",996.3,"2,689.0",403.4
2007,Georgia,"9,544,750","46,917",720,"2,198",NA,"17,291","26,708",Georgia,"9,544,750","371,248","90,294","238,436","42,518",Georgia,"9,544,750",491.5,7.5,23,NA,181.2,279.8,Georgia,"9,544,750","3,889.6",946,"2,498.1",445.5
2007,Hawaii,"1,283,388","3,544",24,377,NA,"1,122","2,021",Hawaii,"1,283,388","52,866","9,089","37,494","6,283",Hawaii,"1,283,388",276.1,1.9,29.4,NA,87.4,157.5,Hawaii,"1,283,388","4,119.3",708.2,"2,921.5",489.6
2007,Idaho,"1,499,402","3,841",49,607,NA,243,"2,942",Idaho,"1,499,402","34,124","7,131","24,727","2,266",Idaho,"1,499,402",256.2,3.3,40.5,NA,16.2,196.2,Idaho,"1,499,402","2,275.8",475.6,"1,649.1",151.1
2007,Illinois,"12,852,548","68,528",752,"4,103",NA,"23,100","40,573",Illinois,"12,852,548","377,322","75,524","267,911","33,887",Illinois,"12,852,548",533.2,5.9,31.9,NA,179.7,315.7,Illinois,"12,852,548","2,935.8",587.6,"2,084.5",263.7
2007,Indiana,"6,345,289","21,310",350,"1,738",NA,"7,845","11,377",Indiana,"6,345,289","213,887","46,485","147,999","19,403",Indiana,"6,345,289",335.8,5.5,27.4,NA,123.6,179.3,Indiana,"6,345,289","3,370.8",732.6,"2,332.4",305.8
2007,Iowa,"2,988,046","8,970",39,970,NA,"1,328","6,633",Iowa,"2,988,046","79,133","17,176","57,018","4,939",Iowa,"2,988,046",300.2,1.3,32.5,NA,44.4,222,Iowa,"2,988,046","2,648.3",574.8,"1,908.2",165.3
2007,Kansas,"2,775,997","12,730",106,"1,287",NA,"2,022","9,315",Kansas,"2,775,997","102,961","20,461","73,900","8,600",Kansas,"2,775,997",458.6,3.8,46.4,NA,72.8,335.6,Kansas,"2,775,997","3,709.0",737.1,"2,662.1",309.8
