"","year","State","Population","Violent_Crime_Total","Murder_Nonnegligent_Manslaughter","Legacy_Rape","Revised_Rape","Robbery","Aggravated_Assault","State.1","Population.1","Property_Crime_Total","Burglary","Larceny_Theft","Motor_Vehicle_Theft","State.2","Population.2","Violent_Crime_Rate","Murder_Nonnegligent_Manslaughter_Rate","Legacy_Rape_Rate","Revised_Rape_Rate","Robbery_Rate","Aggravated_Assault_Rate","State.3","Population.3","Property_Crime_Rate","Burglary_Rate","Larceny_Theft_Rate","Motor_Vehicle_Theft_Rate"
"1",1994,"Alabama","4,219,000","28,844","501","1,487",NA,"7,223","19,633","Alabama","4,219,000","178,015","44,064","119,951","14,000","Alabama","4,219,000","683.7",11.9,35.2,NA,"171.2","465.3","Alabama","4,219,000","4,219.4","1,044.4","2,843.1","331.8"
"2",1994,"Alaska","606,000","4,644","38","418",NA,"886","3,302","Alaska","606,000","29,947","4,848","21,824","3,275","Alaska","606,000","766.3",6.3,69,NA,"146.2","544.9","Alaska","606,000","4,941.7","800","3,601.3","540.4"
"3",1994,"Arizona","4,075,000","28,653","426","1,465",NA,"6,601","20,161","Arizona","4,075,000","294,273","60,157","190,649","43,467","Arizona","4,075,000","703.1",10.5,36,NA,"162","494.7","Arizona","4,075,000","7,221.4","1,476.2","4,678.5","1,066.7"
"4",1994,"Arkansas","2,453,000","14,598","294","1,028",NA,"3,158","10,118","Arkansas","2,453,000","103,115","26,911","68,478","7,726","Arkansas","2,453,000","595.1",12,41.9,NA,"128.7","412.5","Arkansas","2,453,000","4,203.6","1,097.1","2,791.6","315"
"5",1994,"California","31,431,000","318,395","3,703","10,984",NA,"112,160","191,548","California","31,431,000","1,622,102","384,257","929,640","308,205","California","31,431,000","1,013.0",11.8,34.9,NA,"356.8","609.4","California","31,431,000","5,160.8","1,222.5","2,957.7","980.6"
"6",1994,"Colorado","3,656,000","18,632","199","1,579",NA,"3,910","12,944","Colorado","3,656,000","175,808","33,843","127,600","14,365","Colorado","3,656,000","509.6",5.4,43.2,NA,"106.9","354","Colorado","3,656,000","4,808.8","925.7","3,490.2","392.9"
"7",1994,"Connecticut","3,275,000","14,916","215","806",NA,"6,150","7,745","Connecticut","3,275,000","134,030","29,142","84,721","20,167","Connecticut","3,275,000","455.5",6.6,24.6,NA,"187.8","236.5","Connecticut","3,275,000","4,092.5","889.8","2,586.9","615.8"
"8",1994,"Delaware","706,000","4,549","33","546",NA,"1,141","2,829","Delaware","706,000","29,971","6,198","20,828","2,945","Delaware","706,000","644.3",4.7,77.3,NA,"161.6","400.7","Delaware","706,000","4,245.2","877.9","2,950.1","417.1"
"9",1994,"District of Columbia","570,000","15,177","399","249",NA,"6,311","8,218","District of Columbia","570,000","48,009","10,037","29,711","8,261","District of Columbia","570,000","2,662.6",70,43.7,NA,"1,107.2","1,441.8","District of Columbia","570,000","8,422.6","1,760.9","5,212.5","1,449.3"
"10",1994,"Florida","13,953,000","160,016","1,165","7,301",NA,"45,871","105,679","Florida","13,953,000","991,105","237,341","626,578","127,186","Florida","13,953,000","1,146.8",8.3,52.3,NA,"328.8","757.4","Florida","13,953,000","7,103.2","1,701.0","4,490.6","911.5"
"11",1994,"Georgia","7,055,000","47,103","703","2,448",NA,"15,703","28,249","Georgia","7,055,000","376,926","81,406","256,208","39,312","Georgia","7,055,000","667.7",10,34.7,NA,"222.6","400.4","Georgia","7,055,000","5,342.7","1,153.9","3,631.6","557.2"
"12",1994,"Hawaii","1,179,000","3,091","50","359",NA,"1,221","1,461","Hawaii","1,179,000","75,672","14,029","55,260","6,383","Hawaii","1,179,000","262.2",4.2,30.4,NA,"103.6","123.9","Hawaii","1,179,000","6,418.3","1,189.9","4,687.0","541.4"
"13",1994,"Idaho","1,133,000","3,238","40","316",NA,"209","2,673","Idaho","1,133,000","42,954","8,147","32,597","2,210","Idaho","1,133,000","285.8",3.5,27.9,NA,"18.4","235.9","Idaho","1,133,000","3,791.2","719.1","2,877.1","195.1"
"14",1994,"Illinois","11,752,000","112,928","1,378","3,913",NA,"43,788","63,849","Illinois","11,752,000","548,222","118,116","363,888","66,218","Illinois","11,752,000","960.9",11.7,33.3,NA,"372.6","543.3","Illinois","11,752,000","4,664.9","1,005.1","3,096.4","563.5"
"15",1994,"Indiana","5,752,000","30,205","453","2,046",NA,"7,490","20,216","Indiana","5,752,000","233,975","48,921","160,043","25,011","Indiana","5,752,000","525.1",7.9,35.6,NA,"130.2","351.5","Indiana","5,752,000","4,067.7","850.5","2,782.4","434.8"
"16",1994,"Iowa","2,829,000","8,914","47","666",NA,"1,327","6,874","Iowa","2,829,000","94,475","18,872","70,507","5,096","Iowa","2,829,000","315.1",1.7,23.5,NA,"46.9","243","Iowa","2,829,000","3,339.5","667.1","2,492.3","180.1"
